trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.2, 'e': 0.30854447063465107}",25,20,10.002731064675263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.30545902592830454}",20,10,-35.78387384238348,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.2, 'e': 0.3024044356690215}",30,0,27.380783881845137,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 0.29938039131233124}",20,12,-9.121588706760086,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.2963865873992079}",30,21,2.4606816417179473,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.29342272152521587}",25,11,-61.88186622113521,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
123,False,"{'a': 0.2, 'e': 0.2904884943099637}",20,5,-15.952223270312539,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.28758360936686406}",20,0,-58.633561359733015,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
125,False,"{'a': 0.2, 'e': 0.2847077732731954}",20,6,0.8921316418594825,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.28186069554046345}",20,0,-15.047112001294668,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.2, 'e': 0.2790420885850588}",30,0,-20.561432705949056,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
128,False,"{'a': 0.2, 'e': 0.2762516676992082}",25,0,-19.7493765798979,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.2, 'e': 0.27348915102221616}",25,0,8.808727630599057,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.2, 'e': 0.270754259511994}",30,8,-51.49659165478053,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
131,False,"{'a': 0.2, 'e': 0.26804671691687404}",20,9,6.750545220428375,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.2653662497477053}",20,7,23.011552878834955,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.2627125872502282}",30,4,-8.494838682072865,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.2600854613777259}",20,5,-2.000884130457427,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.2574846067639487}",30,0,-36.67944199680775,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.2, 'e': 0.2549097606963092}",25,17,15.743738072809215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.2523606630893461}",20,15,8.4606131236736,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.24983705645845267}",20,13,-37.7505653064705,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.24733868589386815}",20,8,18.668254246955684,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.24486529903492946}",20,9,-37.544230718644016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.24241664604458016}",25,0,-112.21548928972803,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
142,False,"{'a': 0.2, 'e': 0.23999247958413436}",30,15,6.860366003280198,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.23759255478829303}",25,14,20.50210745415403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.2352166292404101}",25,4,-31.56375733842707,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.2, 'e': 0.232864462948006}",20,0,-25.79935249535483,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.2, 'e': 0.23053581831852593}",30,0,-28.461254976635843,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.22823046013534068}",20,2,24.84510632933767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22594815553398728}",30,19,21.925229572167225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.22368867397864742}",30,13,-98.15268700842144,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
150,False,"{'a': 0.2, 'e': 0.22145178723886094}",20,0,-5.178442770132796,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.2, 'e': 0.21923726936647234}",20,0,-32.8991504142489,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
152,False,"{'a': 0.2, 'e': 0.2170448966728076}",25,6,16.414328781863713,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.21487444770607952}",25,9,-33.32515918947835,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.21272570322901874}",20,0,16.077693414892337,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.21059844619672854}",35,22,-7.217893077722168,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.20849246173476127}",25,4,32.80911017327122,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.20640753711741366}",20,14,-0.23059269387857917,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.20434346174623952}",25,9,30.00618823657832,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.20230002712877712}",20,5,24.5044716053298,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.20027702685748935}",30,20,5.626228560216237,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.19827425658891445}",20,3,-5.898556761856414,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.1962915140230253}",30,4,-22.179066191719652,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.19432859888279505}",30,12,-17.971259182585314,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.2, 'e': 0.1923853128939671}",25,0,22.503662986897307,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.2, 'e': 0.19046145976502743}",30,13,18.25865619125657,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.18855684516737714}",20,0,28.891274081911256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.18667127671570335}",20,11,-6.2331167635830225,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.18480456394854633}",20,9,19.54408459378471,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.18295651830906087}",20,6,-2.0241725153960903,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18112695312597027}",30,17,7.442983071674904,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.17931568359471056}",25,19,12.65515513569464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.17752252675876345}",20,9,21.18989007151084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
